ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	geographic location (country and/or sea)	host health state	host scientific name	isolate	isolation source	sample name	serovar	strain
2016-08-24	2016-10-21	ERC000028	SAMEA3677960	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED657	2007	Italy	diseased	Homo sapiens	VTEC	feces	ED657	O145	ED657
2016-08-24	2016-10-21	ERC000028	SAMEA3677959	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED654	2007	Italy	diseased	Homo sapiens	VTEC	feces	ED654	O26	ED654
2016-08-24	2016-10-21	ERC000028	SAMEA3677958	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED653	2007	Italy	diseased	Homo sapiens	VTEC	feces	ED653	O157	ED653
2016-08-24	2016-10-21	ERC000028	SAMEA3677957	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED647	2006	Italy	diseased	Homo sapiens	VTEC	feces	ED647	O157	ED647
2016-08-24	2016-10-21	ERC000028	SAMEA3677956	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED644	2006	Italy	diseased	Homo sapiens	VTEC	feces	ED644	O157	ED644
2016-08-24	2016-10-21	ERC000028	SAMEA3677955	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED636	2006	Italy	diseased	Homo sapiens	VTEC	feces	ED636	O157	ED636
2016-08-24	2016-10-21	ERC000028	SAMEA3677954	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED608	2005	Italy	diseased	Homo sapiens	VTEC	feces	ED608	O111	ED608
2016-08-24	2016-10-21	ERC000028	SAMEA3677953	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED604	2004	Italy	diseased	Homo sapiens	VTEC	feces	ED604	O157	ED604
2016-08-24	2016-10-21	ERC000028	SAMEA3677952	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED603	2004	Italy	diseased	Homo sapiens	VTEC	feces	ED603	O121	ED603
2016-08-24	2016-10-21	ERC000028	SAMEA3677951	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED449	2000	Italy	diseased	Homo sapiens	VTEC	feces	ED449	O157	ED449
2016-08-24	2016-10-21	ERC000028	SAMEA3677950	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED423	1999	Italy	diseased	Homo sapiens	VTEC	feces	ED423	O26	ED423
2016-08-24	2016-10-21	ERC000028	SAMEA3677949	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED415	1999	Italy	diseased	Homo sapiens	VTEC	feces	ED415	O157	ED415
2016-08-24	2016-10-21	ERC000028	SAMEA3677948	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED414	1999	Italy	diseased	Homo sapiens	VTEC	feces	ED414	O157	ED414
2016-08-24	2016-10-21	ERC000028	SAMEA3677947	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED413	1999	Italy	diseased	Homo sapiens	VTEC	feces	ED413	O157	ED413
2016-08-24	2016-10-21	ERC000028	SAMEA3677946	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED411	1999	Italy	diseased	Homo sapiens	VTEC	feces	ED411	O26	ED411
2016-08-24	2016-10-21	ERC000028	SAMEA3677945	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED392	1998	Italy	diseased	Homo sapiens	VTEC	feces	ED392	O26	ED392
2016-08-24	2016-10-21	ERC000028	SAMEA3677944	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED287	1995	Italy	healthy	cattle	VTEC	feces	ED287	O103	ED287
2016-08-24	2016-10-21	ERC000028	SAMEA3677940	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED195	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED195	O26	ED195
2016-08-24	2016-10-21	ERC000028	SAMEA3677939	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED180	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED180	O26	ED180
2016-08-24	2016-10-21	ERC000028	SAMEA3677938	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED178	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED178	O111	ED178
2016-08-24	2016-10-21	ERC000028	SAMEA3677937	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED142	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED142	O111	ED142
2016-08-24	2016-10-21	ERC000028	SAMEA3677936	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED082	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED082	O111	ED082
2016-08-24	2016-10-21	ERC000028	SAMEA3677935	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED075	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED075	O26	ED075
2016-08-24	2016-10-21	ERC000028	SAMEA3677934	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED073	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED073	O111	ED073
2016-08-24	2016-10-21	ERC000028	SAMEA3677933	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:53Z	2016-10-21T09:45:23Z	public	ED040	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED040	O157	ED040
2016-08-24	2016-10-21	ERC000028	SAMEA3677932	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED017	1995	Italy	diseased	Homo sapiens	VTEC	feces	ED017	O26	ED017
2016-08-24	2016-10-21	ERC000028	SAMEA3677931	ISTITUTO SUPERIORE DI SANITA	ISTITUTO SUPERIORE DI SANITA	2016-08-24T17:07:50Z	2016-10-21T09:45:20Z	public	ED010	1989	Italy	diseased	Homo sapiens	VTEC	feces	ED010	O157	ED010
